propert_id,count
ff8081815ab805ff015ac2099fa44da7,24.48
ff8081815ab805ff015ac20d0c444f41,22.81
ff8081815ab805ff015ac21333385249,23.28
ff8081815ab805ff015ac213a3c25287,24.06
ff8081815ab805ff015ac213f35f52b4,23.77
ff8081815ab805ff015ac219c8b55634,42.68
ff8081815ab805ff015ac21a1b535687,23.85
ff8081815ab805ff015ac21fafb259fc,23.33
ff8081815ab805ff015ac21fb84a5a1f,24.22
ff8081815ab805ff015ac22164d35af0,24.12
ff8081815ab805ff015ac2221f1d5b70,23.3
ff8081815ab805ff015ac226aa035dd6,23.37
ff8081815ab805ff015ac228e0545f67,23.49
ff8081815ab805ff015ac22aa29a6085,23.37
ff8081815ab805ff015ac22acb64609c,23.4
ff8081815ab805ff015ac22cc00b61cd,23.34
ff8081815ab805ff015ac22d06db61fb,22.89
ff8081815ab805ff015ac230c2496516,24.39
ff8081815ab805ff015ac23223546621,21.92
ff8081815ab805ff015ac2325f4a6638,24.27
ff8081815ab805ff015ac2326907663d,23.41
ff8081815ab805ff015ac2339b746733,24.22
ff8081815ab805ff015ac2348b4067f4,23.05
ff8081815ab805ff015ac234c23d6805,24.07
ff8081815ab805ff015ac234edce680d,24.39
ff8081815ab805ff015ac23787596968,23.35
ff8081815ab805ff015ac2385dc769e7,23.68
ff8081815ab805ff015ac239e0d96a90,22.89
ff8081815ab805ff015ac23becc46b79,25.13
ff8081815ab805ff015ac241f3dc6ea4,24.3
ff8081815ab805ff015ac24221866ebc,23.01
ff8081815ab805ff015ac2464e2970cd,23.65
ff8081815ab805ff015ac24720197141,23.02
ff8081815ab805ff015ac2484e6671f9,24.3
ff8081815ab805ff015ac2493ba8725c,24.27
ff8081815ab805ff015ac24c74317394,24.7
ff8081815ab805ff015ac24d08bd73c9,22.91
ff8081815ab805ff015ac2539c5e7656,22.16
ff8081815ab805ff015ac254a35676bf,24.22
ff8081815ab805ff015ac258422e77f5,24.81
ff8081815ab805ff015ac25b8e46793e,24.2
ff8081815ab805ff015ac262bd447c67,22.95
ff8081815ab805ff015ac262e5767c89,23.0
ff8081815ab805ff015ac264455b7d65,22.95
ff8081815ab805ff015ac26477137d8b,23.07
ff8081815ab805ff015ac264de8d7dc8,41.34
ff8081815ab805ff015ac265b6f97e28,22.84
ff8081815ab805ff015ac26834d37f32,23.29
ff8081815ab805ff015ac26b7af600ff,23.68
ff8081815ab805ff015ac26cab290196,23.5
ff8081815ab805ff015ac26df604024f,25.24
ff8081815ab805ff015ac27515620637,23.68
ff8081815ab805ff015ac27589210673,23.13
ff8081815ab805ff015ac275e6a3068f,23.54
ff8081815ab805ff015ac2780dcc07b5,36.44
ff8081815ab805ff015ac27a53010895,22.95
ff8081815ab805ff015ac27a85a508ae,23.51
ff8081815ab805ff015ac27bd4a0097a,23.01
ff8081815ab805ff015ac27eb0ea0a87,23.33
ff8081815ab805ff015ac28116400b95,24.79
ff8081815ab805ff015ac284d04b0cc1,24.28
ff8081815ab805ff015ac285a6400cf9,23.41
ff8081815ab805ff015ac286f0de0d94,23.46
ff8081815ab805ff015ac28730a10dc0,42.4
ff8081815ab805ff015ac28a824d0ec0,22.39
ff8081815ab805ff015ac28ae3cc0ef3,22.26
ff8081815ab805ff015ac28fde1a116e,24.22
ff8081815ab805ff015ac2935bfd12fc,24.02
ff8081815ab805ff015ac294745313fe,23.35
ff8081815ab805ff015ac294d670143a,43.4
ff8081815ab805ff015ac29ce9f2175a,24.12
ff8081815ab805ff015ac2a02f9a1864,23.34
ff8081815ab805ff015ac2a13b5a18ca,22.81
ff8081815ab805ff015ac2aa8d9a1c4d,24.5
ff8081815ab805ff015ac2adeb2b1f1b,23.41
ff8081815ab805ff015ac2b9982a23a3,24.16
ff8081815ab805ff015ac2ca7ae62b50,22.49
ff8081815ab805ff015ac2f6dd233c43,51.51
ff8081815ab805ff015ac37b70fa5a3b,23.85
ff8081815ab805ff015ac397cb465f53,33.34
ff8081815ab805ff015ac4c2b00777cb,24.19
ff8081815ab805ff015ac578a33c7a2e,24.67
ff8081815ab805ff015ac588286f7b70,24.66
ff8081815ab805ff015ac59e62007d62,24.47
ff8081815ab805ff015ac5a7c4d07f46,24.07
ff8081815ab805ff015ac5b1501e01a4,22.41
ff8081815ab805ff015ac5b418bd01f1,23.24
ff8081815ab805ff015ac5bac7dc0396,23.02
ff8081815ab805ff015ac5bf9ca7045f,23.8
ff8081815ab805ff015ac5c08716048b,24.58
ff8081815ab805ff015ac5c159d704a7,24.97
ff8081815ab805ff015ac5c49f7f05a0,23.32
ff8081815ab805ff015ac5c6ca430702,24.71
ff8081815ab805ff015ac5c7f54a0761,23.68
ff8081815ab805ff015ac5c9fa55084c,24.07
ff8081815ab805ff015ac5ca68d90860,23.28
ff8081815ab805ff015ac5cceb6708c9,23.71
ff8081815ab805ff015ac5d19f9e0a17,23.7
ff8081815ab805ff015ac5d3c1230ae5,24.22
ff8081815ab805ff015ac5d578f60b5e,23.57
ff8081815ab805ff015ac5e083590da9,23.43
ff8081815ab805ff015ac5e112ef0dda,23.19
ff8081815ab805ff015ac5e2f47e0e30,42.38
ff8081815ab805ff015ac5e303830e33,24.29
ff8081815ab805ff015ac5e573400e8c,23.77
ff8081815ab805ff015ac5e7fcb50f43,23.63
ff8081815ab805ff015ac5e8a9f00f8a,23.39
ff8081815ab805ff015ac5ec79eb10cc,35.45
ff8081815ab805ff015ac5eca62a10d5,24.69
ff8081815ab805ff015ac5ed4bd510f0,43.51
ff8081815ab805ff015ac5f78103135d,25.02
ff8081815ab805ff015ac5f78423135e,35.19
ff8081815ab805ff015ac5f88c01139f,36.25
ff8081815ab805ff015ac5f96a0013eb,23.22
ff8081815ab805ff015ac5fc675a14cd,24.51
ff8081815ab805ff015ac601538f1663,35.31
ff8081815ab805ff015ac603b1cb16c7,23.37
ff8081815ab805ff015ac6042efd16de,23.25
ff8081815ab805ff015ac6066d851823,23.11
ff8081815ab805ff015ac60b0bb31925,25.02
ff8081815ab805ff015ac60f73821a61,24.29
ff8081815ab805ff015ac60ff8931a8b,42.4
ff8081815ab805ff015ac6101e331aa2,24.24
ff8081815ab805ff015ac614714e1bdb,24.15
ff8081815ab805ff015ac616dc7f1c80,23.09
ff8081815ab805ff015ac617c4821cba,23.46
ff8081815ab805ff015ac6196dcd1d39,23.0
ff8081815ab805ff015ac61be3131de0,23.79
ff8081815ab805ff015ac61d890e1e8c,23.36
ff8081815ab805ff015ac61e06271ec1,23.28
ff8081815ab805ff015ac61e4a001ef1,23.61
ff8081815ab805ff015ac61f78cd1f55,44.22
ff8081815ab805ff015ac622891a202b,23.37
ff8081815ab805ff015ac6239cf82099,21.97
ff8081815ab805ff015ac62591fa22d5,23.5
ff8081815ab805ff015ac6261cdd24ec,23.35
ff8081815ab805ff015ac6271fd02855,20.96
ff8081815ab805ff015ac6285ae528b8,23.24
ff8081815ab805ff015ac62b60bf29da,43.86
ff8081815ab805ff015ac62dd9a72a9c,23.74
