floor,total_floor,gym,lift,property_age,property_size,swimming_pool,rent,deposit,type,furnishing,lease_type,locality,parking,building_type,property_id,count
3,4.0,1,1,2,850,1,12000,120000,1,2,3,903,0,0,ff808081469fd6e20146a5af948000ea,193.0
4,11.0,1,1,1,1233,1,20000,150000,1,2,3,1829,0,0,ff8080814702d3d10147068359d200cd,183.0
0,4.0,1,1,0,1200,0,15000,75000,1,1,0,681,1,0,ff808081470c645401470fb03f5800a6,168.0
3,4.0,0,0,1,1300,0,17000,150000,2,2,0,159,0,0,ff808081470c6454014715eaa5960281,165.0
1,2.0,0,0,4,450,0,6500,40000,0,2,0,873,0,1,ff808081474aa867014771a0298f0aa6,145.0
2,2.0,1,0,8,1200,1,17500,200000,2,2,0,279,3,1,ff8080814780f30801478d14132f03f4,143.0
1,3.0,1,1,5,600,1,20000,100000,1,2,1,1296,3,1,ff8080814780f308014797c79000082e,136.0
0,5.0,1,1,18,800,1,18000,120000,1,2,0,367,0,0,ff80808147a95f0a0147ab0d88fa0080,133.0
0,2.0,1,0,15,2000,1,25000,250000,2,2,3,2247,0,1,ff80808147ac6af10147afc279480099,128.0
1,2.0,1,0,8,600,0,12000,40000,1,1,0,1356,3,0,ff80808147cbdc2a0147cf8577880153,127.0
0,2.0,1,0,20,900,0,22000,150000,1,2,3,236,3,1,ff80808147d872840147da61190c01c2,125.0
3,3.0,0,0,10,200,0,6500,20000,5,2,1,936,3,1,ff80808147ed5e680147f326ca4c02d2,124.0
4,4.0,1,1,4,1521,1,19000,150000,2,2,0,2314,0,0,ff80808147ed5e680147f5206d970403,124.0
6,12.0,1,1,9,1965,1,27500,275000,2,2,0,2312,0,0,ff80808147ed5e6801480d0144220ec4,119.0
2,4.0,1,1,3,1100,0,17000,50000,1,2,3,436,0,0,ff80808147ed5e68014810c42dba0ff0,119.0
2,4.0,0,1,4,1000,0,17500,80000,1,2,3,624,0,0,ff80808147ed5e68014815e91cd0125a,117.0
0,4.0,1,0,0,950,0,12000,50000,1,2,0,1987,2,1,ff80808147ed5e68014816e46898133f,113.0
1,1.0,1,1,3,1617,1,33000,150000,2,2,3,360,0,0,ff808081482565740148261980670079,111.0
1,3.0,0,0,1,500,0,8000,50000,0,2,0,541,3,1,ff808081482565740148312a4c1c0591,110.0
0,2.0,0,0,4,1400,0,18000,100000,1,2,3,650,3,0,ff808081483cf6a50148447ec4a702e3,110.0
2,3.0,0,0,6,750,0,16000,160000,1,2,3,1297,3,2,ff808081483cf6a50148457c37c8036a,109.0
0,2.0,0,0,6,900,0,17000,100000,1,1,3,245,0,2,ff808081483cf6a501484ada8d1b05e3,109.0
3,3.0,0,0,0,500,0,7000,30000,5,1,3,2288,0,1,ff808081485677b101485a6921bd01ae,108.0
